"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","Organ","Desc","Desc_Column"
"1","PADI2","OID20467","Q9Y2J8","Inflammation","Timepoint",3,8.73849309578151,2.91283103192717,30.9880590002693,3.43104648009761e-06,0.00505050041870368,"Significant","Tissue enhanced: brain, skeletal muscle, tongue","Protein-arginine deiminase type-2","Tissue_enhanced_brain_skeletal_muscle_tongue"
"2","CLC","OID20126","Q05315","Cardiometabolic","Timepoint",3,14.9153612935756,4.97178709785854,19.276229149983,4.56425951440181e-05,0.0335929500259974,"Significant","Tissue enriched: bone marrow","Galectin-10","Tissue_enriched_bone_marrow"
"3","TIMP3","OID20684","P35625","Inflammation","Timepoint",3,28.5738287508571,9.52460958361905,17.5701445846982,7.3769521777727e-05,0.0361962453522714,"Significant","Low tissue specificity","Metalloproteinase inhibitor 3","Low_tissue_specificity"
"4","ADGRG2","OID20189","Q8IZP9","Cardiometabolic","Timepoint",3,4.47253225579412,1.49084408526471,14.2404423035357,0.000211412798956782,0.0375903362029869,"Significant","Tissue enriched: epididymis","Adhesion G-protein coupled receptor G2","Tissue_enriched_epididymis"
"5","CCL18","OID20395","P55774","Cardiometabolic","Timepoint",3,5.20056833192857,1.73352277730952,13.8099131547134,0.000245483016441743,0.0375903362029869,"Significant","Tissue enriched: lung","C-C motif chemokine 18","Tissue_enriched_lung"
"6","CDSN","OID20667","Q15517","Inflammation","Timepoint",3,3.83283073562605,1.27761024520868,14.8167223934808,0.000173992937786873,0.0375903362029869,"Significant","Tissue enriched: skin 1","Corneodesmosin","Tissue_enriched_skin_1"
"7","DKK1","OID21066","O94907","Neurology","Timepoint",3,8.65307352806303,2.88435784268768,16.4211605177789,0.000104105868855966,0.0375903362029869,"Significant","Tissue enhanced: cervix, placenta, urinary bladder","Dickkopf-related protein 1","Tissue_enhanced_cervix_placenta_urinary_bladder"
"8","LY96","OID20945","Q9Y6Y9","Neurology","Timepoint",3,1.05342800503782,0.351142668345938,15.1645624385728,0.000155117942620127,0.0375903362029869,"Significant","Low tissue specificity","Lymphocyte antigen 96","Low_tissue_specificity"
"9","SPINT2","OID20720","O43291","Inflammation","Timepoint",3,1.73556515606723,0.578521718689076,13.6977814686138,0.00025536913181377,0.0375903362029869,"Significant","Low tissue specificity","Kunitz-type protease inhibitor 2","Low_tissue_specificity"
"10","TNNI3","OID20050","P19429","Cardiometabolic","Timepoint",3,49.6644651796261,16.554821726542,14.6856286434163,0.000181784229346946,0.0375903362029869,"Significant","Tissue enriched: heart muscle","Troponin I, cardiac muscle","Tissue_enriched_heart_muscle"
"11","CST5","OID20995","P28325","Neurology","Timepoint",3,5.13844605828151,1.7128153527605,13.2544078183508,0.00029922683812649,0.0400419914292903,"Significant","Tissue enriched: salivary gland","Cystatin-D","Tissue_enriched_salivary_gland"
"12","BID","OID20517","P55957","Inflammation","Timepoint",3,3.08332920786135,1.02777640262045,12.5434072103854,0.000389031094307525,0.044050290063129,"Significant","Tissue enhanced: bone marrow","BH3-interacting domain death agonist","Tissue_enhanced_bone_marrow"
"13","CCL4","OID20695","P13236","Inflammation","Timepoint",3,5.07229000880252,1.69076333626751,12.7250810686909,0.000363430841144509,0.044050290063129,"Significant","Tissue enhanced: bone marrow","C-C motif chemokine 4","Tissue_enhanced_bone_marrow"
"14","FLI1","OID21239","Q01543","Oncology","Timepoint",3,5.18087675653361,1.72695891884454,12.3438304927745,0.000419583404442008,0.0441161979527597,"Significant","Tissue enhanced: lymphoid tissue","Friend leukemia integration 1 transcription factor","Tissue_enhanced_lymphoid_tissue"
"15","NDUFS6","OID21224","O75380","Oncology","Timepoint",3,17.6570915757815,5.88569719192717,11.9872282898917,0.000481333872394249,0.047234897344289,"Significant","Tissue enhanced: skeletal muscle","NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial","Tissue_enhanced_skeletal_muscle"
