"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","Organ","Desc","Desc_Column"
"1","CALB1","OID21306","P05937","Oncology","Timepoint",3,15.0715993897802,5.02386646326007,117.897641930244,1.52929093847696e-07,0.000225111626143809,"Significant","Tissue enriched: kidney","Calbindin","Tissue_enriched_kidney"
"2","HAVCR1","OID21422","Q96D42","Oncology","Timepoint",3,45.8052942725,15.2684314241667,47.2655669977701,7.82044383832499e-06,0.00301629468179293,"Significant","Group enriched: intestine, kidney","Hepatitis A virus cellular receptor 1","Group_enriched_intestine_kidney"
"3","IGFBP4","OID21158","P22692","Neurology","Timepoint",3,7.4399324021978,2.47997746739927,44.320391105405,1.02455661745684e-05,0.00301629468179293,"Significant","Low tissue specificity","Insulin-like growth factor-binding protein 4","Low_tissue_specificity"
"4","MMP7","OID20087","P09237","Cardiometabolic","Timepoint",3,8.09389185142857,2.69796395047619,49.3442847558436,6.52348972789066e-06,0.00301629468179293,"Significant","Tissue enhanced: gallbladder, salivary gland, urinary bladder","Matrilysin","Tissue_enhanced_gallbladder_salivary_gland_urinary_bladder"
"5","NEFL","OID20871","P07196","Neurology","Timepoint",3,19.0117886151648,6.33726287172161,44.8974923451373,9.70485743433458e-06,0.00301629468179293,"Significant","Tissue enriched: brain","Neurofilament light polypeptide","Tissue_enriched_brain"
"6","EREG","OID20905","O14944","Neurology","Timepoint",3,10.7515640351374,3.58385467837912,40.0286397493417,1.56730950000436e-05,0.00330228769769119,"Significant","Tissue enriched: bone marrow","Proepiregulin","Tissue_enriched_bone_marrow"
"7","ULBP2","OID20919","Q9BZM5","Neurology","Timepoint",3,5.04242479513736,1.68080826504579,40.009794284477,1.57038137797815e-05,0.00330228769769119,"Significant","Tissue enhanced: esophagus","UL16-binding protein 2","Tissue_enhanced_esophagus"
"8","FAS","OID20316","P25445","Cardiometabolic","Timepoint",3,4.72932569469781,1.5764418982326,27.637637022396,7.13722211950563e-05,0.0100985381694263,"Significant","Low tissue specificity","Tumor necrosis factor receptor superfamily member 6","Low_tissue_specificity"
"9","GFOD2","OID21216","Q3B7J2","Oncology","Timepoint",3,2.76313668208791,0.921045560695971,25.2214652995793,0.000102906299280839,0.0100985381694263,"Significant","Low tissue specificity","Glucose-fructose oxidoreductase domain-containing protein 2","Low_tissue_specificity"
"10","IL1B","OID20427","P01584","Inflammation","Timepoint",3,8.62312058802198,2.87437352934066,28.6040678503431,6.21459641767516e-05,0.0100985381694263,"Significant","Tissue enhanced: bone marrow, urinary bladder","Interleukin-1 beta","Tissue_enhanced_bone_marrow_urinary_bladder"
"11","SDC1","OID20169","P18827","Cardiometabolic","Timepoint",3,34.0176273274451,11.3392091091484,25.4587203650648,9.91410473365532e-05,0.0100985381694263,"Significant","Tissue enhanced: esophagus, liver, skin 1","Syndecan-1","Tissue_enhanced_esophagus_liver_skin_1"
"12","SPINK1","OID21097","P00995","Neurology","Timepoint",3,14.8037718474451,4.93459061581502,26.3868129063281,8.59377400765636e-05,0.0100985381694263,"Significant","Tissue enriched: pancreas","Serine protease inhibitor Kazal-type 1","Tissue_enriched_pancreas"
"13","TGFBR2","OID21493","P37173","Oncology","Timepoint",3,2.4968705746978,0.832290191565934,25.803941836348,9.39582540996449e-05,0.0100985381694263,"Significant","Low tissue specificity","TGF-beta receptor type-2","Low_tissue_specificity"
"14","TNFRSF14","OID20783","Q92956","Inflammation","Timepoint",3,5.29619317052198,1.76539772350733,28.4389821019616,6.36139022552717e-05,0.0100985381694263,"Significant","Low tissue specificity","Tumor necrosis factor receptor superfamily member 14","Low_tissue_specificity"
"15","TNFRSF4","OID20653","P43489","Inflammation","Timepoint",3,5.97200365494506,1.99066788498169,27.1384820011237,7.67923177613718e-05,0.0100985381694263,"Significant","Tissue enhanced: lymphoid tissue","Tumor necrosis factor receptor superfamily member 4","Tissue_enhanced_lymphoid_tissue"
"16","TNFRSF1A","OID21155","P19438","Neurology","Timepoint",3,6.21572551052198,2.07190850350733,24.4473184322436,0.000116470268506289,0.0107152647025786,"Significant","Low tissue specificity","Tumor necrosis factor receptor superfamily member 1A","Low_tissue_specificity"
"17","FCER2","OID21133","P06734","Neurology","Timepoint",3,7.41711520326924,2.47237173442308,23.6876508808402,0.000131965112680344,0.0114266262273804,"Significant","Tissue enriched: lymphoid tissue","Low affinity immunoglobulin epsilon Fc receptor","Tissue_enriched_lymphoid_tissue"
"18","DPP10","OID20527","Q8N608","Inflammation","Timepoint",3,3.59134168304945,1.19711389434982,22.9919910685259,0.000148418189630067,0.0114985039544978,"Significant","Tissue enhanced: adrenal gland, brain, pancreas","Inactive dipeptidyl peptidase 10","Tissue_enhanced_adrenal_gland_brain_pancreas"
"19","SLAMF6","OID21254","Q96DU3","Oncology","Timepoint",3,3.2261880234066,1.0753960078022,23.2961444031739,0.000140933106123626,0.0114985039544978,"Significant","Tissue enriched: lymphoid tissue","SLAM family member 6","Tissue_enriched_lymphoid_tissue"
"20","RELT","OID21142","Q969Z4","Neurology","Timepoint",3,4.85581622898352,1.61860540966117,22.5662004058131,0.000159730940812986,0.0117561972438358,"Significant","Tissue enriched: bone marrow","Tumor necrosis factor receptor superfamily member 19L","Tissue_enriched_bone_marrow"
"21","DEFA1_DEFA1B","OID20344","P59665","Cardiometabolic","Timepoint",3,5.99247792692308,1.99749264230769,21.9670189619288,0.000177493115333046,0.01192862607106,"Significant","Tissue enriched: bone marrow, Tissue enriched: bone marrow","Neutrophil defensin 1","Tissue_enriched_bone_marrow_Tissue_enriched_bone_marrow"
"22","TNFRSF10C","OID20265","O14798","Cardiometabolic","Timepoint",3,4.79007777513736,1.59669259171245,21.9421523344997,0.000178281096170734,0.01192862607106,"Significant","Tissue enhanced: bone marrow, lymphoid tissue","Tumor necrosis factor receptor superfamily member 10C","Tissue_enhanced_bone_marrow_lymphoid_tissue"
"23","EFNA1","OID21125","P20827","Neurology","Timepoint",3,5.76612417557693,1.92204139185898,19.9582489262766,0.000257644724972051,0.0151701214063544,"Significant","Tissue enhanced: liver","Ephrin-A1","Tissue_enhanced_liver"
"24","EPHB4","OID20242","P54760","Cardiometabolic","Timepoint",3,2.52631864612637,0.842106215375458,19.9829605855389,0.000256416999215089,0.0151701214063544,"Significant","Low tissue specificity","Ephrin type-B receptor 4","Low_tissue_specificity"
"25","TNFRSF11A","OID20646","Q9Y6Q6","Inflammation","Timepoint",3,8.1045091134066,2.7015030378022,19.986646364322,0.00025623449531364,0.0151701214063544,"Significant","Tissue enhanced: intestine, salivary gland","Tumor necrosis factor receptor superfamily member 11A","Tissue_enhanced_intestine_salivary_gland"
"26","ACE2","OID20105","Q9BYF1","Cardiometabolic","Timepoint",3,11.6089492051648,3.86964973505495,19.1885846503836,0.000299748358471753,0.0152148132300145,"Significant","Tissue enhanced: gallbladder, intestine, kidney","Angiotensin-converting enzyme 2","Tissue_enhanced_gallbladder_intestine_kidney"
"27","EFNA4","OID20935","P52798","Neurology","Timepoint",3,4.01639493054945,1.33879831018315,19.5020374572058,0.000281655675162676,0.0152148132300145,"Significant","Tissue enhanced: skin 1","Ephrin-A4","Tissue_enhanced_skin_1"
"28","THBS2","OID21104","P35442","Neurology","Timepoint",3,6.11069471648352,2.03689823882784,19.3644515852428,0.000289428078024738,0.0152148132300145,"Significant","Low tissue specificity","Thrombospondin-2","Low_tissue_specificity"
"29","TNFRSF9","OID20985","Q07011","Neurology","Timepoint",3,5.79388842285714,1.93129614095238,19.7250112590069,0.000269593629323729,0.0152148132300145,"Significant","Tissue enriched: lymphoid tissue","Tumor necrosis factor receptor superfamily member 9","Tissue_enriched_lymphoid_tissue"
"30","CTSF","OID21500","Q9UBX1","Oncology","Timepoint",3,3.23467647648352,1.07822549216117,18.7656442644983,0.00032646861289213,0.0153814865700739,"Significant","Low tissue specificity","Cathepsin F","Low_tissue_specificity"
"31","VCAN","OID21026","P13611","Neurology","Timepoint",3,4.38266125821429,1.46088708607143,18.7464791367698,0.000327746931290679,0.0153814865700739,"Significant","Tissue enhanced: lymphoid tissue, placenta","Versican core protein","Tissue_enhanced_lymphoid_tissue_placenta"
"32","WFDC2","OID21505","Q14508","Oncology","Timepoint",3,11.7632630061264,3.92108766870879,18.6484765930822,0.000334380142827693,0.0153814865700739,"Significant","Tissue enhanced: cervix, salivary gland","WAP four-disulfide core domain protein 2","Tissue_enhanced_cervix_salivary_gland"
"33","GPC1","OID21438","P35052","Oncology","Timepoint",3,6.42465140612637,2.14155046870879,17.9138917079038,0.000389696657659067,0.0171195689530132,"Significant","Tissue enhanced: skin 1","Glypican-1","Tissue_enhanced_skin_1"
"34","IFNGR1","OID20678","P15260","Inflammation","Timepoint",3,2.34945186593407,0.783150621978023,17.8451662795136,0.00039542482636036,0.0171195689530132,"Significant","Low tissue specificity","Interferon gamma receptor 1","Low_tissue_specificity"
"35","PIK3IP1","OID21094","Q96FE7","Neurology","Timepoint",3,3.32038679076923,1.10679559692308,16.9597542407687,0.000479288373776489,0.0201574996056855,"Significant","Low tissue specificity","Phosphoinositide-3-kinase-interacting protein 1","Low_tissue_specificity"
"36","CCL28","OID20569","Q9NRJ3","Inflammation","Timepoint",3,5.80527563648352,1.93509187882784,16.3281792265681,0.000552632037231089,0.0212130304072652,"Significant","Tissue enriched: salivary gland","C-C motif chemokine 28","Tissue_enriched_salivary_gland"
"37","CD27","OID21527","P26842","Oncology","Timepoint",3,7.71059865263737,2.57019955087912,16.1643339786567,0.00057385548178844,0.0212130304072652,"Significant","Tissue enriched: lymphoid tissue","CD27 antigen","Tissue_enriched_lymphoid_tissue"
"38","ESAM","OID20270","Q96AP7","Cardiometabolic","Timepoint",3,4.05728515208791,1.3524283840293,16.213634382558,0.000567366296247192,0.0212130304072652,"Significant","Low tissue specificity","Endothelial cell-selective adhesion molecule","Low_tissue_specificity"
"39","LTBR","OID20768","P36941","Inflammation","Timepoint",3,7.39482857494506,2.46494285831502,16.3133144763083,0.000554517518571719,0.0212130304072652,"Significant","Low tissue specificity","Tumor necrosis factor receptor superfamily member 3","Low_tissue_specificity"
"40","PTPRF","OID20310","P10586","Cardiometabolic","Timepoint",3,1.27835644942308,0.426118816474359,16.1292108037608,0.000578533942449446,0.0212130304072652,"Significant","Low tissue specificity","Receptor-type tyrosine-protein phosphatase F","Low_tissue_specificity"
"41","TFPI2","OID21512","P48307","Oncology","Timepoint",3,13.8824545649451,4.62748485498169,16.0383688663775,0.000590852069767578,0.0212130304072652,"Significant","Tissue enriched: placenta","Tissue factor pathway inhibitor 2","Tissue_enriched_placenta"
"42","CCN1","OID21368","O00622","Oncology","Timepoint",3,10.0879177691209,3.36263925637363,15.9152492659456,0.000608062712329889,0.0213111502987999,"Significant","Low tissue specificity","CCN family member 1","Low_tissue_specificity"
"43","RARRES1","OID21177","P49788","Oncology","Timepoint",3,1.67396116326923,0.557987054423077,15.6020055684878,0.00065469073419125,0.0224117386216167,"Significant","Tissue enhanced: fallopian tube, salivary gland","Retinoic acid receptor responder protein 1","Tissue_enhanced_fallopian_tube_salivary_gland"
"44","ART3","OID20346","Q13508","Cardiometabolic","Timepoint",3,3.30757123557692,1.10252374519231,14.62540231267,0.000830973594874384,0.0229558598704703,"Significant","Group enriched: heart muscle, skeletal muscle, testis, tongue","Ecto-ADP-ribosyltransferase 3","Group_enriched_heart_muscle_skeletal_muscle_testis_tongue"
