"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","Organ","Desc","Desc_Column"
"1","CALB1","OID21306","P05937","Oncology","Timepoint",3,15.0715993897802,5.02386646326007,117.897641930244,1.52929093847696e-07,0.000225111626143809,"Significant","Tissue enriched: kidney","Calbindin","Tissue_enriched_kidney"
"2","HAVCR1","OID21422","Q96D42","Oncology","Timepoint",3,45.8052942725,15.2684314241667,47.2655669977701,7.82044383832499e-06,0.00301629468179293,"Significant","Group enriched: intestine, kidney","Hepatitis A virus cellular receptor 1","Group_enriched_intestine_kidney"
"3","IGFBP4","OID21158","P22692","Neurology","Timepoint",3,7.4399324021978,2.47997746739927,44.320391105405,1.02455661745684e-05,0.00301629468179293,"Significant","Low tissue specificity","Insulin-like growth factor-binding protein 4","Low_tissue_specificity"
"4","MMP7","OID20087","P09237","Cardiometabolic","Timepoint",3,8.09389185142857,2.69796395047619,49.3442847558436,6.52348972789066e-06,0.00301629468179293,"Significant","Tissue enhanced: gallbladder, salivary gland, urinary bladder","Matrilysin","Tissue_enhanced_gallbladder_salivary_gland_urinary_bladder"
"5","NEFL","OID20871","P07196","Neurology","Timepoint",3,19.0117886151648,6.33726287172161,44.8974923451373,9.70485743433458e-06,0.00301629468179293,"Significant","Tissue enriched: brain","Neurofilament light polypeptide","Tissue_enriched_brain"
"6","EREG","OID20905","O14944","Neurology","Timepoint",3,10.7515640351374,3.58385467837912,40.0286397493417,1.56730950000436e-05,0.00330228769769119,"Significant","Tissue enriched: bone marrow","Proepiregulin","Tissue_enriched_bone_marrow"
"7","ULBP2","OID20919","Q9BZM5","Neurology","Timepoint",3,5.04242479513736,1.68080826504579,40.009794284477,1.57038137797815e-05,0.00330228769769119,"Significant","Tissue enhanced: esophagus","UL16-binding protein 2","Tissue_enhanced_esophagus"
"8","FAS","OID20316","P25445","Cardiometabolic","Timepoint",3,4.72932569469781,1.5764418982326,27.637637022396,7.13722211950563e-05,0.0100985381694263,"Significant","Low tissue specificity","Tumor necrosis factor receptor superfamily member 6","Low_tissue_specificity"
"9","GFOD2","OID21216","Q3B7J2","Oncology","Timepoint",3,2.76313668208791,0.921045560695971,25.2214652995793,0.000102906299280839,0.0100985381694263,"Significant","Low tissue specificity","Glucose-fructose oxidoreductase domain-containing protein 2","Low_tissue_specificity"
"10","IL1B","OID20427","P01584","Inflammation","Timepoint",3,8.62312058802198,2.87437352934066,28.6040678503431,6.21459641767516e-05,0.0100985381694263,"Significant","Tissue enhanced: bone marrow, urinary bladder","Interleukin-1 beta","Tissue_enhanced_bone_marrow_urinary_bladder"
"11","SDC1","OID20169","P18827","Cardiometabolic","Timepoint",3,34.0176273274451,11.3392091091484,25.4587203650648,9.91410473365532e-05,0.0100985381694263,"Significant","Tissue enhanced: esophagus, liver, skin 1","Syndecan-1","Tissue_enhanced_esophagus_liver_skin_1"
"12","SPINK1","OID21097","P00995","Neurology","Timepoint",3,14.8037718474451,4.93459061581502,26.3868129063281,8.59377400765636e-05,0.0100985381694263,"Significant","Tissue enriched: pancreas","Serine protease inhibitor Kazal-type 1","Tissue_enriched_pancreas"
"13","TGFBR2","OID21493","P37173","Oncology","Timepoint",3,2.4968705746978,0.832290191565934,25.803941836348,9.39582540996449e-05,0.0100985381694263,"Significant","Low tissue specificity","TGF-beta receptor type-2","Low_tissue_specificity"
"14","TNFRSF14","OID20783","Q92956","Inflammation","Timepoint",3,5.29619317052198,1.76539772350733,28.4389821019616,6.36139022552717e-05,0.0100985381694263,"Significant","Low tissue specificity","Tumor necrosis factor receptor superfamily member 14","Low_tissue_specificity"
"15","TNFRSF4","OID20653","P43489","Inflammation","Timepoint",3,5.97200365494506,1.99066788498169,27.1384820011237,7.67923177613718e-05,0.0100985381694263,"Significant","Tissue enhanced: lymphoid tissue","Tumor necrosis factor receptor superfamily member 4","Tissue_enhanced_lymphoid_tissue"
"16","TNFRSF1A","OID21155","P19438","Neurology","Timepoint",3,6.21572551052198,2.07190850350733,24.4473184322436,0.000116470268506289,0.0107152647025786,"Significant","Low tissue specificity","Tumor necrosis factor receptor superfamily member 1A","Low_tissue_specificity"
"17","FCER2","OID21133","P06734","Neurology","Timepoint",3,7.41711520326924,2.47237173442308,23.6876508808402,0.000131965112680344,0.0114266262273804,"Significant","Tissue enriched: lymphoid tissue","Low affinity immunoglobulin epsilon Fc receptor","Tissue_enriched_lymphoid_tissue"
"18","DPP10","OID20527","Q8N608","Inflammation","Timepoint",3,3.59134168304945,1.19711389434982,22.9919910685259,0.000148418189630067,0.0114985039544978,"Significant","Tissue enhanced: adrenal gland, brain, pancreas","Inactive dipeptidyl peptidase 10","Tissue_enhanced_adrenal_gland_brain_pancreas"
"19","SLAMF6","OID21254","Q96DU3","Oncology","Timepoint",3,3.2261880234066,1.0753960078022,23.2961444031739,0.000140933106123626,0.0114985039544978,"Significant","Tissue enriched: lymphoid tissue","SLAM family member 6","Tissue_enriched_lymphoid_tissue"
"20","RELT","OID21142","Q969Z4","Neurology","Timepoint",3,4.85581622898352,1.61860540966117,22.5662004058131,0.000159730940812986,0.0117561972438358,"Significant","Tissue enriched: bone marrow","Tumor necrosis factor receptor superfamily member 19L","Tissue_enriched_bone_marrow"
