"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","Organ","Desc","Desc_Column"
"1","SDC1","OID20169","P18827","Cardiometabolic","Timepoint",3,75.9774731822921,25.3258243940974,18.2989974275751,1.78534009354494e-08,2.62802061769815e-05,"Significant","Tissue enhanced: esophagus, liver, skin 1","Syndecan-1","Tissue_enhanced_esophagus_liver_skin_1"
"2","PRSS8","OID20763","Q16651","Inflammation","Timepoint",3,10.4767616130724,3.49225387102414,12.9532360335633,1.38860304217942e-06,0.00102201183904405,"Significant","Tissue enhanced: salivary gland","Prostasin","Tissue_enhanced_salivary_gland"
"3","ITGA11","OID20581","Q9UKX5","Inflammation","Timepoint",3,11.4414202683423,3.81380675611409,11.8691172668416,3.64834581190213e-06,0.00179012167837331,"Significant","Tissue enhanced: cervix, endometrium 1, smooth muscle","Integrin alpha-11","Tissue_enhanced_cervix_endometrium_1_smooth_muscle"
"4","MSLN","OID21380","Q13421","Oncology","Timepoint",3,20.8954719989657,6.96515733298858,11.2859766158553,6.21474364397175e-06,0.0022870256609816,"Significant","Group enriched: fallopian tube, lung","Mesothelin","Group_enriched_fallopian_tube_lung"
"5","CXCL17","OID20622","Q6UXB2","Inflammation","Timepoint",3,9.30974463906948,3.10324821302316,10.1695900700325,1.76971887931622e-05,0.00521005238070694,"Significant","Group enriched: esophagus, lung, salivary gland, stomach 1","C-X-C motif chemokine 17","Group_enriched_esophagus_lung_salivary_gland_stomach_1"
"6","CELA3A","OID20298","P09093","Cardiometabolic","Timepoint",3,21.9203049803651,7.30676832678835,9.34704382068518,3.91707932005921e-05,0.00763012326230133,"Significant","Tissue enriched: pancreas","Chymotrypsin-like elastase family member 3A","Tissue_enriched_pancreas"
"7","ITGAV","OID21416","P06756","Oncology","Timepoint",3,2.11597454293644,0.705324847645479,9.3011134699137,4.09726283465885e-05,0.00763012326230133,"Significant","Low tissue specificity","Integrin alpha-V","Low_tissue_specificity"
"8","PDCD1","OID21396","Q15116","Oncology","Timepoint",3,7.90338292467129,2.63446097489043,9.16891958291807,4.66515688591793e-05,0.00763012326230133,"Significant","Tissue enhanced: lymphoid tissue","Programmed cell death protein 1","Tissue_enhanced_lymphoid_tissue"
"9","PTN","OID20083","P21246","Cardiometabolic","Timepoint",3,103.199151053858,34.3997170179526,9.17428842894024,4.64057919830082e-05,0.00763012326230133,"Significant","Tissue enhanced: brain, parathyroid gland","Pleiotrophin","Tissue_enhanced_brain_parathyroid_gland"
"10","NTRK2","OID20136","Q16620","Cardiometabolic","Timepoint",3,3.41756038373783,1.13918679457928,8.98894373446299,5.57178456336669e-05,0.00820166687727576,"Significant","Tissue enhanced: brain, thyroid gland","BDNF/NT-3 growth factors receptor","Tissue_enhanced_brain_thyroid_gland"
"11","FCRL5","OID21111","Q96RD9","Neurology","Timepoint",3,18.9881399743495,6.32937999144982,8.89025624882813,6.14431587692837e-05,0.00822221179167142,"Significant","Tissue enriched: lymphoid tissue","Fc receptor-like protein 5","Tissue_enriched_lymphoid_tissue"
"12","REG3A","OID20258","Q06141","Cardiometabolic","Timepoint",3,36.0544510057776,12.0181503352592,8.45491021028321,9.49430557673157e-05,0.010750475237653,"Significant","Group enriched: intestine, pancreas","Regenerating islet-derived protein 3-alpha","Group_enriched_intestine_pancreas"
"13","TNFSF13B","OID20272","Q9Y275","Cardiometabolic","Timepoint",3,10.2213194339903,3.40710647799678,8.50380760549816,9.0386859358295e-05,0.010750475237653,"Significant","Tissue enhanced: lymphoid tissue","Tumor necrosis factor ligand superfamily member 13B","Tissue_enhanced_lymphoid_tissue"
"14","NADK","OID20178","O95544","Cardiometabolic","Timepoint",3,20.2663654628926,6.75545515429752,8.32739519668402,0.000107973613737102,0.0113526542443581,"Significant","Low tissue specificity","NAD kinase","Low_tissue_specificity"
"15","CA6","OID21096","P23280","Neurology","Timepoint",3,7.50694002255082,2.50231334085027,8.1343591480466,0.000131312540938855,0.0114516173438168,"Significant","Tissue enriched: salivary gland","Carbonic anhydrase 6","Tissue_enriched_salivary_gland"
"16","IFNL1","OID20795","Q8IU54","Neurology","Timepoint",3,22.8947256545129,7.63157521817098,8.15088125205756,0.000129125317828187,0.0114516173438168,"Significant","Not detected","Interferon lambda-1","Not_detected"
"17","PRSS2","OID20364","P07478","Cardiometabolic","Timepoint",3,38.7156706365035,12.9052235455012,8.1273366332572,0.000132253732910928,0.0114516173438168,"Significant","Tissue enriched: pancreas","Trypsin-2","Tissue_enriched_pancreas"
"18","AMY2A","OID20333","P04746","Cardiometabolic","Timepoint",3,10.1854251137334,3.39514170457779,7.71194237879007,0.000202362100026686,0.0145770584125977,"Significant","Tissue enriched: pancreas","Pancreatic alpha-amylase","Tissue_enriched_pancreas"
"19","C1QA","OID20654","P02745","Inflammation","Timepoint",3,7.35082870984643,2.45027623661548,7.75201784742575,0.00019417822470256,0.0145770584125977,"Significant","Tissue enhanced: lymphoid tissue","Complement C1q subcomponent subunit A","Tissue_enhanced_lymphoid_tissue"
"20","IL7R","OID21136","P16871","Neurology","Timepoint",3,5.83165124300853,1.94388374766951,7.73076848265335,0.000198474184906041,0.0145770584125977,"Significant","Tissue enhanced: lymphoid tissue","Interleukin-7 receptor subunit alpha","Tissue_enhanced_lymphoid_tissue"
