"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","Organ","Desc","Desc_Column"
"1","SDC1","OID20169","P18827","Cardiometabolic","Timepoint",3,75.9774731822921,25.3258243940974,18.2989974275751,1.78534009354494e-08,2.62802061769815e-05,"Significant","Tissue enhanced: esophagus, liver, skin 1","Syndecan-1","Tissue_enhanced_esophagus_liver_skin_1"
"2","PRSS8","OID20763","Q16651","Inflammation","Timepoint",3,10.4767616130724,3.49225387102414,12.9532360335633,1.38860304217942e-06,0.00102201183904405,"Significant","Tissue enhanced: salivary gland","Prostasin","Tissue_enhanced_salivary_gland"
"3","ITGA11","OID20581","Q9UKX5","Inflammation","Timepoint",3,11.4414202683423,3.81380675611409,11.8691172668416,3.64834581190213e-06,0.00179012167837331,"Significant","Tissue enhanced: cervix, endometrium 1, smooth muscle","Integrin alpha-11","Tissue_enhanced_cervix_endometrium_1_smooth_muscle"
"4","MSLN","OID21380","Q13421","Oncology","Timepoint",3,20.8954719989657,6.96515733298858,11.2859766158553,6.21474364397175e-06,0.0022870256609816,"Significant","Group enriched: fallopian tube, lung","Mesothelin","Group_enriched_fallopian_tube_lung"
"5","CXCL17","OID20622","Q6UXB2","Inflammation","Timepoint",3,9.30974463906948,3.10324821302316,10.1695900700325,1.76971887931622e-05,0.00521005238070694,"Significant","Group enriched: esophagus, lung, salivary gland, stomach 1","C-X-C motif chemokine 17","Group_enriched_esophagus_lung_salivary_gland_stomach_1"
"6","CELA3A","OID20298","P09093","Cardiometabolic","Timepoint",3,21.9203049803651,7.30676832678835,9.34704382068518,3.91707932005921e-05,0.00763012326230133,"Significant","Tissue enriched: pancreas","Chymotrypsin-like elastase family member 3A","Tissue_enriched_pancreas"
"7","ITGAV","OID21416","P06756","Oncology","Timepoint",3,2.11597454293644,0.705324847645479,9.3011134699137,4.09726283465885e-05,0.00763012326230133,"Significant","Low tissue specificity","Integrin alpha-V","Low_tissue_specificity"
"8","PDCD1","OID21396","Q15116","Oncology","Timepoint",3,7.90338292467129,2.63446097489043,9.16891958291807,4.66515688591793e-05,0.00763012326230133,"Significant","Tissue enhanced: lymphoid tissue","Programmed cell death protein 1","Tissue_enhanced_lymphoid_tissue"
"9","PTN","OID20083","P21246","Cardiometabolic","Timepoint",3,103.199151053858,34.3997170179526,9.17428842894024,4.64057919830082e-05,0.00763012326230133,"Significant","Tissue enhanced: brain, parathyroid gland","Pleiotrophin","Tissue_enhanced_brain_parathyroid_gland"
"10","NTRK2","OID20136","Q16620","Cardiometabolic","Timepoint",3,3.41756038373783,1.13918679457928,8.98894373446299,5.57178456336669e-05,0.00820166687727576,"Significant","Tissue enhanced: brain, thyroid gland","BDNF/NT-3 growth factors receptor","Tissue_enhanced_brain_thyroid_gland"
