"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","Organ","Desc","Desc_Column"
"1","SDC1","OID20169","P18827","Cardiometabolic","Timepoint",3,100.918902008948,33.6396340029826,27.6699757972106,9.2050121243072e-11,1.35497778469802e-07,"Significant","Tissue enhanced: esophagus, liver, skin 1","Syndecan-1","Tissue_enhanced_esophagus_liver_skin_1"
"2","TNFRSF4","OID20653","P43489","Inflammation","Timepoint",3,26.8175434905325,8.93918116351082,26.0490669281017,2.33652378018184e-10,1.71968150221384e-07,"Significant","Tissue enhanced: lymphoid tissue","Tumor necrosis factor receptor superfamily member 4","Tissue_enhanced_lymphoid_tissue"
"3","SCARF1","OID20297","Q14162","Cardiometabolic","Timepoint",3,16.303080085612,5.43436002853734,19.7649150569381,1.23605919494141e-08,6.06493044984585e-06,"Significant","Tissue enhanced: lymphoid tissue","Scavenger receptor class F member 1","Tissue_enhanced_lymphoid_tissue"
"4","TNFRSF9","OID20985","Q07011","Neurology","Timepoint",3,20.6829883958458,6.89432946528193,18.8455492905151,2.3333551030521e-08,8.58674677923175e-06,"Significant","Tissue enriched: lymphoid tissue","Tumor necrosis factor receptor superfamily member 9","Tissue_enriched_lymphoid_tissue"
"5","IL19","OID20158","Q9UHD0","Cardiometabolic","Timepoint",3,53.8262071146299,17.94206903821,15.0577155654895,3.82021608599547e-07,9.37226346430889e-05,"Significant","Group enriched: cervix, salivary gland","Interleukin-19","Group_enriched_cervix_salivary_gland"
"6","RELT","OID21142","Q969Z4","Neurology","Timepoint",3,19.8733051929302,6.62443506431006,15.1804013207476,3.4725501500841e-07,9.37226346430889e-05,"Significant","Tissue enriched: bone marrow","Tumor necrosis factor receptor superfamily member 19L","Tissue_enriched_bone_marrow"
"7","NRP1","OID20390","O14786","Cardiometabolic","Timepoint",3,3.95740674550812,1.31913558183604,14.0991416369805,8.15051025210636e-07,0.000171393587015722,"Significant","Low tissue specificity","Neuropilin-1","Low_tissue_specificity"
"8","MARCO","OID20210","Q9UEW3","Cardiometabolic","Timepoint",3,6.28912443417532,2.09637481139177,13.5965020398198,1.22359260932966e-06,0.000200125368992585,"Significant","Tissue enhanced: liver, lung, lymphoid tissue","Macrophage receptor MARCO","Tissue_enhanced_liver_lung_lymphoid_tissue"
"9","PRSS8","OID20763","Q16651","Inflammation","Timepoint",3,13.9603409772143,4.65344699240476,13.6922586797514,1.13190452842867e-06,0.000200125368992585,"Significant","Tissue enhanced: salivary gland","Prostasin","Tissue_enhanced_salivary_gland"
"10","COL6A3","OID20292","P12111","Cardiometabolic","Timepoint",3,34.6012340757143,11.5337446919048,12.9133830784897,2.1473982075237e-06,0.000316097016147488,"Significant","Tissue enhanced: smooth muscle","Collagen alpha-3(VI) chain","Tissue_enhanced_smooth_muscle"
"11","CD27","OID21527","P26842","Oncology","Timepoint",3,20.6647289013458,6.88824296711525,12.4624422932811,3.133824700337e-06,0.00034719778865062,"Significant","Tissue enriched: lymphoid tissue","CD27 antigen","Tissue_enriched_lymphoid_tissue"
"12","GP6","OID21091","Q9HCN6","Neurology","Timepoint",3,23.0035665175779,7.66785550585931,12.4005334592277,3.30215288118796e-06,0.00034719778865062,"Significant","Tissue enhanced: testis","Platelet glycoprotein VI","Tissue_enhanced_testis"
"13","PI3","OID20326","P19957","Cardiometabolic","Timepoint",3,22.0289768167013,7.34299227223377,12.5998363031508,2.79130505818186e-06,0.00034719778865062,"Significant","Group enriched: esophagus, lymphoid tissue, vagina","Elafin","Group_enriched_esophagus_lymphoid_tissue_vagina"
"14","WFDC2","OID21505","Q14508","Oncology","Timepoint",3,44.1640858333263,14.7213619444421,12.4367736245373,3.20250954732478e-06,0.00034719778865062,"Significant","Tissue enhanced: cervix, salivary gland","WAP four-disulfide core domain protein 2","Tissue_enhanced_cervix_salivary_gland"
"15","HSPG2","OID20383","P98160","Cardiometabolic","Timepoint",3,18.3142566804367,6.10475222681222,12.2410970945107,3.78027685908004e-06,0.000370971169104387,"Significant","Low tissue specificity","Basement membrane-specific heparan sulfate proteoglycan core protein","Low_tissue_specificity"
"16","XCL1","OID21398","P47992","Oncology","Timepoint",3,18.0011599150195,6.00038663833983,12.1213786008211,4.18619093479724e-06,0.000385129566001346,"Significant","Tissue enhanced: lymphoid tissue","Lymphotactin","Tissue_enhanced_lymphoid_tissue"
"17","FAS","OID20316","P25445","Cardiometabolic","Timepoint",3,12.1674249440195,4.05580831467316,12.0302400707433,4.52537936915788e-06,0.000391844613611788,"Significant","Low tissue specificity","Tumor necrosis factor receptor superfamily member 6","Low_tissue_specificity"
"18","IL10RB","OID20696","Q08334","Inflammation","Timepoint",3,6.99838585916883,2.33279528638961,11.7274125192818,5.87223762989131e-06,0.000439618277816482,"Significant","Low tissue specificity","Interleukin-10 receptor subunit beta","Low_tissue_specificity"
"19","PRL","OID21033","P01236","Neurology","Timepoint",3,32.8843439977549,10.9614479992516,11.8112254168381,5.46230659630463e-06,0.000439618277816482,"Significant","Tissue enriched: pituitary gland","Prolactin","Tissue_enriched_pituitary_gland"
"20","SORT1","OID20213","Q99523","Cardiometabolic","Timepoint",3,10.1448927610325,3.38163092034416,11.7077262005702,5.97307442685437e-06,0.000439618277816482,"Significant","Tissue enhanced: brain","Sortilin","Tissue_enhanced_brain"
