"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","Organ","Desc","Desc_Column"
"1","SDC1","OID20169","P18827","Cardiometabolic","Timepoint",3,84.8112711774407,28.2704237258136,19.6962522084548,5.24282560191964e-09,7.71743928602571e-06,"Significant","Tissue enhanced: esophagus, liver, skin 1","Syndecan-1","Tissue_enhanced_esophagus_liver_skin_1"
"2","ITGA11","OID20581","Q9UKX5","Inflammation","Timepoint",3,12.8399559133245,4.27998530444149,13.0889309355274,1.11109969706535e-06,0.0005451795846934,"Significant","Tissue enhanced: cervix, endometrium 1, smooth muscle","Integrin alpha-11","Tissue_enhanced_cervix_endometrium_1_smooth_muscle"
"3","PRSS8","OID20763","Q16651","Inflammation","Timepoint",3,10.5341670062102,3.51138900207006,13.4201569073617,8.29845886880476e-07,0.0005451795846934,"Significant","Tissue enhanced: salivary gland","Prostasin","Tissue_enhanced_salivary_gland"
"4","CXCL17","OID20622","Q6UXB2","Inflammation","Timepoint",3,10.3479841765052,3.44932805883508,10.7027634402734,9.90085785892907e-06,0.0036435156920859,"Significant","Group enriched: esophagus, lung, salivary gland, stomach 1","C-X-C motif chemokine 17","Group_enriched_esophagus_lung_salivary_gland_stomach_1"
"5","CELA3A","OID20298","P09093","Cardiometabolic","Timepoint",3,21.3095709023245,7.10319030077483,9.26448675953518,3.99678525962881e-05,0.0045255906939797,"Significant","Tissue enriched: pancreas","Chymotrypsin-like elastase family member 3A","Tissue_enriched_pancreas"
"6","FCRL5","OID21111","Q96RD9","Neurology","Timepoint",3,20.438225719098,6.812741906366,9.83572436800896,2.27947025117574e-05,0.0045255906939797,"Significant","Tissue enriched: lymphoid tissue","Fc receptor-like protein 5","Tissue_enriched_lymphoid_tissue"
"7","IFNL1","OID20795","Q8IU54","Neurology","Timepoint",3,25.5350378979571,8.51167929931904,9.29300379021067,3.88538963283441e-05,0.0045255906939797,"Significant","Not detected","Interferon lambda-1","Not_detected"
"8","ITGAV","OID21416","P06756","Oncology","Timepoint",3,2.23189933672298,0.743966445574328,9.683035233859,2.64608827185975e-05,0.0045255906939797,"Significant","Low tissue specificity","Integrin alpha-V","Low_tissue_specificity"
"9","MSLN","OID21380","Q13421","Oncology","Timepoint",3,18.9374114057143,6.31247046857143,9.58639684862676,2.90907187438818e-05,0.0045255906939797,"Significant","Group enriched: fallopian tube, lung","Mesothelin","Group_enriched_fallopian_tube_lung"
"10","NTRK2","OID20136","Q16620","Cardiometabolic","Timepoint",3,3.46591830686455,1.15530610228818,9.40594082913375,3.47473792524596e-05,0.0045255906939797,"Significant","Tissue enhanced: brain, thyroid gland","BDNF/NT-3 growth factors receptor","Tissue_enhanced_brain_thyroid_gland"
"11","PDCD1","OID21396","Q15116","Oncology","Timepoint",3,8.3172713935837,2.77242379786123,9.71116218315386,2.5742472066446e-05,0.0045255906939797,"Significant","Tissue enhanced: lymphoid tissue","Programmed cell death protein 1","Tissue_enhanced_lymphoid_tissue"
"12","PTN","OID20083","P21246","Cardiometabolic","Timepoint",3,106.518418716571,35.5061395721903,9.49839142156766,3.17200979490877e-05,0.0045255906939797,"Significant","Tissue enhanced: brain, parathyroid gland","Pleiotrophin","Tissue_enhanced_brain_parathyroid_gland"
"13","REG3A","OID20258","Q06141","Cardiometabolic","Timepoint",3,38.5639388019675,12.8546462673225,9.30338783617926,3.84562597506884e-05,0.0045255906939797,"Significant","Group enriched: intestine, pancreas","Regenerating islet-derived protein 3-alpha","Group_enriched_intestine_pancreas"
"14","MARCO","OID20210","Q9UEW3","Cardiometabolic","Timepoint",3,4.32859888985574,1.44286629661858,8.57162097917542,8.00431369110519e-05,0.00752016540802108,"Significant","Tissue enhanced: liver, lung, lymphoid tissue","Macrophage receptor MARCO","Tissue_enhanced_liver_lung_lymphoid_tissue"
"15","NADK","OID20178","O95544","Cardiometabolic","Timepoint",3,20.0126791390496,6.67089304634986,8.43493751105231,9.19585443915622e-05,0.00752016540802108,"Significant","Low tissue specificity","NAD kinase","Low_tissue_specificity"
"16","PRSS2","OID20364","P07478","Cardiometabolic","Timepoint",3,39.1350280728096,13.0450093576032,8.47566760323377,8.82279437062356e-05,0.00752016540802108,"Significant","Tissue enriched: pancreas","Trypsin-2","Tissue_enriched_pancreas"
"17","TNFRSF4","OID20653","P43489","Inflammation","Timepoint",3,11.6750404234285,3.89168014114284,8.50838015543697,8.53448162359405e-05,0.00752016540802108,"Significant","Tissue enhanced: lymphoid tissue","Tumor necrosis factor receptor superfamily member 4","Tissue_enhanced_lymphoid_tissue"
"18","TNFSF13B","OID20272","Q9Y275","Cardiometabolic","Timepoint",3,10.0699235858123,3.35664119527076,8.59323851464353,7.83097175135658e-05,0.00752016540802108,"Significant","Tissue enhanced: lymphoid tissue","Tumor necrosis factor ligand superfamily member 13B","Tissue_enhanced_lymphoid_tissue"
"19","CA6","OID21096","P23280","Neurology","Timepoint",3,7.75226566212697,2.58408855404232,8.34857614276153,0.000100416171865373,0.00777961078872788,"Significant","Tissue enriched: salivary gland","Carbonic anhydrase 6","Tissue_enriched_salivary_gland"
"20","WFDC2","OID21505","Q14508","Oncology","Timepoint",3,31.5224924387315,10.5074974795772,7.68821100527566,0.000198341220761783,0.0145979138480672,"Significant","Tissue enhanced: cervix, salivary gland","WAP four-disulfide core domain protein 2","Tissue_enhanced_cervix_salivary_gland"
