"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","Organ","Desc","Desc_Column"
"1","IFNL1","OID20795","Q8IU54","Neurology","Timepoint",2,27.275483333746,13.637741666873,20.1544163578383,2.16440257028425e-06,0.00318600058345842,"Significant","Not detected","Interferon lambda-1","Not_detected"
"2","CXCL10","OID20697","P02778","Inflammation","Timepoint",2,29.7015424696031,14.8507712348016,15.8247224990544,1.66604111740693e-05,0.0081111987293169,"Significant","Tissue enhanced: lymphoid tissue","C-X-C motif chemokine 10","Tissue_enhanced_lymphoid_tissue"
"3","IFNG","OID20495","P01579","Inflammation","Timepoint",2,77.5929400698413,38.7964700349206,15.405584554766,2.05972680319503e-05,0.0081111987293169,"Significant","Group enriched: bone marrow, lymphoid tissue","Interferon gamma","Group_enriched_bone_marrow_lymphoid_tissue"
"4","TNFSF13B","OID20272","Q9Y275","Cardiometabolic","Timepoint",2,9.89983266546032,4.94991633273016,15.272864000886,2.20413008948829e-05,0.0081111987293169,"Significant","Tissue enhanced: lymphoid tissue","Tumor necrosis factor ligand superfamily member 13B","Tissue_enhanced_lymphoid_tissue"
"5","FAP","OID20330","Q12884","Cardiometabolic","Timepoint",2,0.905740196142858,0.452870098071429,14.6537083630196,3.03522843814629e-05,0.00893571252190268,"Significant","Tissue enhanced: endometrium 1, smooth muscle","Prolyl endopeptidase FAP","Tissue_enhanced_endometrium_1_smooth_muscle"
"6","SDC1","OID20169","P18827","Cardiometabolic","Timepoint",2,28.2313642014286,14.1156821007143,14.0247031054797,4.22921901518938e-05,0.0103756839839313,"Significant","Tissue enhanced: esophagus, liver, skin 1","Syndecan-1","Tissue_enhanced_esophagus_liver_skin_1"
"7","ENPP5","OID20736","Q9UJA9","Inflammation","Timepoint",2,3.10327319303175,1.55163659651588,13.6849794542145,5.07378055475711e-05,0.0106694356808607,"Significant","Tissue enriched: epididymis","Ectonucleotide pyrophosphatase/phosphodiesterase family member 5","Tissue_enriched_epididymis"
"8","ANGPTL1","OID20211","O95841","Cardiometabolic","Timepoint",2,7.22660665450794,3.61330332725397,13.2379167518532,6.46810287994293e-05,0.011901309299095,"Significant","Tissue enhanced: placenta","Angiopoietin-related protein 1","Tissue_enhanced_placenta"
"9","C1QA","OID20654","P02745","Inflammation","Timepoint",2,9.22131137184127,4.61065568592063,12.3512659101845,0.000105866958816863,0.0173151292642691,"Significant","Tissue enhanced: lymphoid tissue","Complement C1q subcomponent subunit A","Tissue_enhanced_lymphoid_tissue"
"10","CSF3","OID20491","P09919","Inflammation","Timepoint",2,8.83674490936508,4.41837245468254,11.2933408681299,0.000194541623498283,0.0286365269789473,"Significant","Tissue enhanced: lung, urinary bladder","Granulocyte colony-stimulating factor","Tissue_enhanced_lung_urinary_bladder"
"11","FCRL5","OID21111","Q96RD9","Neurology","Timepoint",2,8.50279993714286,4.25139996857143,10.9963077047193,0.000231766044547699,0.0310145106885648,"Significant","Tissue enriched: lymphoid tissue","Fc receptor-like protein 5","Tissue_enriched_lymphoid_tissue"
"12","EREG","OID20905","O14944","Neurology","Timepoint",2,3.25705136869841,1.62852568434921,10.6632099909752,0.000282696735641578,0.0346774662387002,"Significant","Tissue enriched: bone marrow","Proepiregulin","Tissue_enriched_bone_marrow"
"13","PCOLCE","OID20384","Q15113","Cardiometabolic","Timepoint",2,5.59204022685715,2.79602011342857,10.305299030611,0.000350935928432774,0.0397367451271571,"Significant","Low tissue specificity","Procollagen C-endopeptidase enhancer 1","Low_tissue_specificity"
